Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 1 || Cartesian vector: (-11.7518, -36.7261, 35.6048) || Spherical Vector: (52.4844, 0.82523, -1.88049) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (11.7518, 36.7261, -35.6048) || Spherical Vector: (52.4844, 2.31636, 1.26111) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-36.439, -37.3791, 5.44185) || Spherical Vector: (52.4844, 1.46692, -2.34346) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (36.439, 37.3791, -5.44185) || Spherical Vector: (52.4844, 1.67467, 0.798133) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (3.09699, -16.4415, 49.7464) || Spherical Vector: (52.4844, 0.324436, -1.38461) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-3.09699, 16.4415, -49.7464) || Spherical Vector: (52.4844, 2.81716, 1.75698) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (36.7058, 11.0421, -35.8521) || Spherical Vector: (52.4844, 2.3228, 0.292216) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-36.7058, -11.0421, 35.8521) || Spherical Vector: (52.4844, 0.818797, -2.84938) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (22.0137, -43.9026, -18.5089) || Spherical Vector: (52.4844, 1.9312, -1.10601) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-22.0137, 43.9026, 18.5089) || Spherical Vector: (52.4844, 1.21039, 2.03558) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-46.9146, 18.5464, 14.4801) || Spherical Vector: (52.4844, 1.29128, 2.76513) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (46.9146, -18.5464, -14.4801) || Spherical Vector: (52.4844, 1.85031, -0.376467) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-8.53439, -51.6511, 3.73367) || Spherical Vector: (52.4844, 1.4996, -1.73455) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (8.53439, 51.6511, -3.73367) || Spherical Vector: (52.4844, 1.642, 1.40704) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-18.491, 43.2232, 23.3336) || Spherical Vector: (52.4844, 1.11009, 1.97504) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (18.491, -43.2232, -23.3336) || Spherical Vector: (52.4844, 2.0315, -1.16655) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (27.0484, 44.9345, -1.97238) || Spherical Vector: (52.4844, 1.60839, 1.02894) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-27.0484, -44.9345, 1.97238) || Spherical Vector: (52.4844, 1.53321, -2.11265) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-21.6631, 27.5088, 39.0972) || Spherical Vector: (52.4844, 0.730368, 2.23787) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (21.6631, -27.5088, -39.0972) || Spherical Vector: (52.4844, 2.41122, -0.903726) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (30.9157, 1.39965, -42.3896) || Spherical Vector: (52.4844, 2.51097, 0.0452423) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-30.9157, -1.39965, 42.3896) || Spherical Vector: (52.4844, 0.630622, -3.09635) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (2.18442, -16.2696, -49.8512) || Spherical Vector: (52.4844, 2.82348, -1.43733) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-2.18442, 16.2696, 49.8512) || Spherical Vector: (52.4844, 0.318108, 1.70426) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-12.3551, -46.0436, 21.9535) || Spherical Vector: (52.4844, 1.13924, -1.83296) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (12.3551, 46.0436, -21.9535) || Spherical Vector: (52.4844, 2.00235, 1.30864) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (22.8103, 41.2324, 23.1127) || Spherical Vector: (52.4844, 1.11478, 1.06549) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-22.8103, -41.2324, -23.1127) || Spherical Vector: (52.4844, 2.02681, -2.0761) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-41.558, 12.9306, 29.3318) || Spherical Vector: (52.4844, 0.977778, 2.83994) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (41.558, -12.9306, -29.3318) || Spherical Vector: (52.4844, 2.16381, -0.30165) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (7.93823, -36.6548, 36.7154) || Spherical Vector: (52.4844, 0.79603, -1.35752) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-7.93823, 36.6548, -36.7154) || Spherical Vector: (52.4844, 2.34556, 1.78407) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (4.37177, 0.448738, 52.3001) || Spherical Vector: (52.4844, 0.0838324, 0.102286) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-4.37177, -0.448738, -52.3001) || Spherical Vector: (52.4844, 3.05776, -3.03931) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-26.7716, -42.8544, -14.1917) || Spherical Vector: (52.4844, 1.8446, -2.12919) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (26.7716, 42.8544, 14.1917) || Spherical Vector: (52.4844, 1.29699, 1.01241) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-49.6626, -7.02352, 15.4568) || Spherical Vector: (52.4844, 1.27186, -3.0011) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (49.6626, 7.02352, -15.4568) || Spherical Vector: (52.4844, 1.86973, 0.140493) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-17.855, -15.0052, -47.0177) || Spherical Vector: (52.4844, 2.68111, -2.4427) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (17.855, 15.0052, 47.0177) || Spherical Vector: (52.4844, 0.460478, 0.698892) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-15.2124, 18.0442, 46.8786) || Spherical Vector: (52.4844, 0.466404, 2.27125) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (15.2124, -18.0442, -46.8786) || Spherical Vector: (52.4844, 2.67519, -0.870343) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-4.23614, -51.9666, 6.01163) || Spherical Vector: (52.4844, 1.456, -1.65213) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (4.23614, 51.9666, -6.01163) || Spherical Vector: (52.4844, 1.68559, 1.48946) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (26.6743, -26.9358, 36.2983) || Spherical Vector: (52.4844, 0.807094, -0.790277) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-26.6743, 26.9358, -36.2983) || Spherical Vector: (52.4844, 2.3345, 2.35132) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-45.5142, -19.4074, -17.505) || Spherical Vector: (52.4844, 1.91084, -2.73853) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (45.5142, 19.4074, 17.505) || Spherical Vector: (52.4844, 1.23075, 0.403059) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (31.0011, 27.2527, 32.4167) || Spherical Vector: (52.4844, 0.905053, 0.721141) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-31.0011, -27.2527, -32.4167) || Spherical Vector: (52.4844, 2.23654, -2.42045) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-32.3656, 40.9187, -5.72202) || Spherical Vector: (52.4844, 1.68004, 2.24001) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (32.3656, -40.9187, 5.72202) || Spherical Vector: (52.4844, 1.46156, -0.901584) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-6.64581, -10.6035, 50.9707) || Spherical Vector: (52.4844, 0.240752, -2.13066) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (6.64581, 10.6035, -50.9707) || Spherical Vector: (52.4844, 2.90084, 1.01094) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (27.9304, 3.36329, 44.308) || Spherical Vector: (52.4844, 0.565703, 0.11984) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-27.9304, -3.36329, -44.308) || Spherical Vector: (52.4844, 2.57589, -3.02175) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-35.832, -14.8339, 35.3644) || Spherical Vector: (52.4844, 0.831446, -2.74909) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (35.832, 14.8339, -35.3644) || Spherical Vector: (52.4844, 2.31015, 0.392504) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-33.6026, -37.388, 15.0871) || Spherical Vector: (52.4844, 1.27922, -2.30292) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (33.6026, 37.388, -15.0871) || Spherical Vector: (52.4844, 1.86237, 0.83867) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (31.4291, 40.7507, -10.3056) || Spherical Vector: (52.4844, 1.76844, 0.913831) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-31.4291, -40.7507, 10.3056) || Spherical Vector: (52.4844, 1.37316, -2.22776) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-15.3774, 37.7394, 33.074) || Spherical Vector: (52.4844, 0.889027, 1.95772) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (15.3774, -37.7394, -33.074) || Spherical Vector: (52.4844, 2.25257, -1.18387) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-24.1329, 27.7698, -37.4308) || Spherical Vector: (52.4844, 2.36482, 2.28624) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (24.1329, -27.7698, 37.4308) || Spherical Vector: (52.4844, 0.776775, -0.855355) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (36.5374, 12.879, 35.4086) || Spherical Vector: (52.4844, 0.830306, 0.33889) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-36.5374, -12.879, -35.4086) || Spherical Vector: (52.4844, 2.31129, -2.8027) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (19.4503, 28.3538, 39.6531) || Spherical Vector: (52.4844, 0.714348, 0.969538) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-19.4503, -28.3538, -39.6531) || Spherical Vector: (52.4844, 2.42724, -2.17205) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-0.583944, -51.9072, 7.74076) || Spherical Vector: (52.4844, 1.42277, -1.58205) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (0.583944, 51.9072, -7.74076) || Spherical Vector: (52.4844, 1.71882, 1.55955) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-9.66105, 10.1182, -50.5856) || Spherical Vector: (52.4844, 2.87178, 2.33308) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (9.66105, -10.1182, 50.5856) || Spherical Vector: (52.4844, 0.269813, -0.808509) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-42.1838, 0.128613, -31.227) || Spherical Vector: (52.4844, 2.20803, 3.13854) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (42.1838, -0.128613, 31.227) || Spherical Vector: (52.4844, 0.93356, -0.00304887) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-43.4478, 26.0115, -13.7952) || Spherical Vector: (52.4844, 1.83677, 2.60214) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (43.4478, -26.0115, 13.7952) || Spherical Vector: (52.4844, 1.30483, -0.539451) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-13.3331, -43.168, -26.709) || Spherical Vector: (52.4844, 2.10469, -1.87037) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (13.3331, 43.168, 26.709) || Spherical Vector: (52.4844, 1.0369, 1.27123) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (23.709, -35.8608, -30.1082) || Spherical Vector: (52.4844, 2.18176, -0.986629) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-23.709, 35.8608, 30.1082) || Spherical Vector: (52.4844, 0.959829, 2.15496) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (19.0834, 41.3697, 26.0575) || Spherical Vector: (52.4844, 1.05126, 1.13859) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-19.0834, -41.3697, -26.0575) || Spherical Vector: (52.4844, 2.09033, -2.003) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (19.6532, 9.47831, 47.7339) || Spherical Vector: (52.4844, 0.428746, 0.44937) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-19.6532, -9.47831, -47.7339) || Spherical Vector: (52.4844, 2.71285, -2.69222) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-10.9449, 35.424, 37.1479) || Spherical Vector: (52.4844, 0.784434, 1.87046) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (10.9449, -35.424, -37.1479) || Spherical Vector: (52.4844, 2.35716, -1.27113) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (22.5749, 24.473, 40.5717) || Spherical Vector: (52.4844, 0.687203, 0.825719) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-22.5749, -24.473, -40.5717) || Spherical Vector: (52.4844, 2.45439, -2.31587) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-16.7094, 31.5449, 38.4751) || Spherical Vector: (52.4844, 0.747962, 2.05792) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (16.7094, -31.5449, -38.4751) || Spherical Vector: (52.4844, 2.39363, -1.08367) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-39.7203, 20.6024, -27.431) || Spherical Vector: (52.4844, 2.12075, 2.66311) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (39.7203, -20.6024, 27.431) || Spherical Vector: (52.4844, 1.02084, -0.478485) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-38.9837, 33.6402, -10.1598) || Spherical Vector: (52.4844, 1.7656, 2.42964) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (38.9837, -33.6402, 10.1598) || Spherical Vector: (52.4844, 1.37599, -0.711953) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (40.6307, 31.8796, -9.35166) || Spherical Vector: (52.4844, 1.74993, 0.665291) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-40.6307, -31.8796, 9.35166) || Spherical Vector: (52.4844, 1.39166, -2.4763) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (39.9007, 25.8621, 22.2194) || Spherical Vector: (52.4844, 1.13365, 0.575081) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-39.9007, -25.8621, -22.2194) || Spherical Vector: (52.4844, 2.00794, -2.56651) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-7.08463, 47.3134, -21.584) || Spherical Vector: (52.4844, 1.99462, 1.71943) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (7.08463, -47.3134, 21.584) || Spherical Vector: (52.4844, 1.14698, -1.42216) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (21.607, 45.859, 13.5907) || Spherical Vector: (52.4844, 1.30886, 1.13048) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-21.607, -45.859, -13.5907) || Spherical Vector: (52.4844, 1.83273, -2.01111) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (7.02964, 7.81288, -51.4214) || Spherical Vector: (52.4844, 2.93998, 0.838119) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-7.02964, -7.81288, 51.4214) || Spherical Vector: (52.4844, 0.20161, -2.30347) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-15.2314, -49.8777, -5.90254) || Spherical Vector: (52.4844, 1.6835, -1.86718) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (15.2314, 49.8777, 5.90254) || Spherical Vector: (52.4844, 1.4581, 1.27442) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (27.1354, 26.1697, 36.5162) || Spherical Vector: (52.4844, 0.801329, 0.767283) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-27.1354, -26.1697, -36.5162) || Spherical Vector: (52.4844, 2.34026, -2.37431) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-16.8218, -17.1291, -46.6716) || Spherical Vector: (52.4844, 2.66649, -2.34715) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (16.8218, 17.1291, 46.6716) || Spherical Vector: (52.4844, 0.475101, 0.794447) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-13.2798, 9.06814, 49.9603) || Spherical Vector: (52.4844, 0.311395, 2.54247) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (13.2798, -9.06814, -49.9603) || Spherical Vector: (52.4844, 2.8302, -0.599124) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-28.5345, -38.9978, 20.4834) || Spherical Vector: (52.4844, 1.16987, -2.20248) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (28.5345, 38.9978, -20.4834) || Spherical Vector: (52.4844, 1.97173, 0.939114) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (6.13915, -52.1198, -0.670982) || Spherical Vector: (52.4844, 1.58358, -1.45355) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-6.13915, 52.1198, 0.670982) || Spherical Vector: (52.4844, 1.55801, 1.68805) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-9.32636, -50.6993, -9.85977) || Spherical Vector: (52.4844, 1.75978, -1.75272) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (9.32636, 50.6993, 9.85977) || Spherical Vector: (52.4844, 1.38181, 1.38888) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-16.5205, -35.2257, -35.2255) || Spherical Vector: (52.4844, 2.30657, -2.00933) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (16.5205, 35.2257, 35.2255) || Spherical Vector: (52.4844, 0.835022, 1.13226) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-11.4842, 49.1205, -14.488) || Spherical Vector: (52.4844, 1.85047, 1.80047) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (11.4842, -49.1205, 14.488) || Spherical Vector: (52.4844, 1.29112, -1.34113) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-20.8118, 12.5295, -46.5242) || Spherical Vector: (52.4844, 2.66039, 2.59968) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (20.8118, -12.5295, 46.5242) || Spherical Vector: (52.4844, 0.481206, -0.541916) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (47.7177, -12.5272, 17.9083) || Spherical Vector: (52.4844, 1.22259, -0.256734) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-47.7177, 12.5272, -17.9083) || Spherical Vector: (52.4844, 1.919, 2.88486) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-9.24579, 36.186, 36.8742) || Spherical Vector: (52.4844, 0.791788, 1.82095) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (9.24579, -36.186, -36.8742) || Spherical Vector: (52.4844, 2.3498, -1.32064) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (36.378, 35.7765, 12.3004) || Spherical Vector: (52.4844, 1.33423, 0.777063) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-36.378, -35.7765, -12.3004) || Spherical Vector: (52.4844, 1.80736, -2.36453) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-3.94988, -1.63889, 52.3099) || Spherical Vector: (52.4844, 0.0815696, -2.74829) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (3.94988, 1.63889, -52.3099) || Spherical Vector: (52.4844, 3.06002, 0.393303) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (8.31713, 50.2142, 12.8052) || Spherical Vector: (52.4844, 1.32433, 1.40665) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-8.31713, -50.2142, -12.8052) || Spherical Vector: (52.4844, 1.81727, -1.73494) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (20.1656, 30.7821, 37.4223) || Spherical Vector: (52.4844, 0.777003, 0.990839) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-20.1656, -30.7821, -37.4223) || Spherical Vector: (52.4844, 2.36459, -2.15075) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-45.5467, -12.5727, 22.8481) || Spherical Vector: (52.4844, 1.12039, -2.87226) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (45.5467, 12.5727, -22.8481) || Spherical Vector: (52.4844, 2.0212, 0.269333) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-11.3013, -24.2454, 45.1559) || Spherical Vector: (52.4844, 0.534806, -2.00697) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (11.3013, 24.2454, -45.1559) || Spherical Vector: (52.4844, 2.60679, 1.13462) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-31.7305, 37.5938, -18.2893) || Spherical Vector: (52.4844, 1.92673, 2.27182) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (31.7305, -37.5938, 18.2893) || Spherical Vector: (52.4844, 1.21486, -0.869776) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-0.927986, 21.5762, 47.8354) || Spherical Vector: (52.4844, 0.424075, 1.61378) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (0.927986, -21.5762, -47.8354) || Spherical Vector: (52.4844, 2.71752, -1.52781) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (24.3386, -25.1274, 39.1263) || Spherical Vector: (52.4844, 0.729537, -0.801342) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
