Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 1 || Cartesian vector: (-29.2274, 41.6551, -12.8542) || Spherical Vector: (52.4844, 1.81823, 2.18263) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (29.2274, -41.6551, 12.8542) || Spherical Vector: (52.4844, 1.32336, -0.958963) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (12.2584, 47.3642, 18.9994) || Spherical Vector: (52.4844, 1.20038, 1.31754) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-12.2584, -47.3642, -18.9994) || Spherical Vector: (52.4844, 1.94121, -1.82405) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (15.1179, -37.1182, -33.8866) || Spherical Vector: (52.4844, 2.27267, -1.18402) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-15.1179, 37.1182, 33.8866) || Spherical Vector: (52.4844, 0.868921, 1.95757) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-15.8448, 42.7724, -25.963) || Spherical Vector: (52.4844, 2.08826, 1.92557) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (15.8448, -42.7724, 25.963) || Spherical Vector: (52.4844, 1.05333, -1.21603) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (9.75896, 51.5688, -0.207489) || Spherical Vector: (52.4844, 1.57475, 1.38377) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-9.75896, -51.5688, 0.207489) || Spherical Vector: (52.4844, 1.56684, -1.75783) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-47.3494, -12.5505, -18.8452) || Spherical Vector: (52.4844, 1.93806, -2.88249) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (47.3494, 12.5505, 18.8452) || Spherical Vector: (52.4844, 1.20353, 0.259102) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-19.7812, 38.6723, 29.458) || Spherical Vector: (52.4844, 0.974875, 2.04361) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (19.7812, -38.6723, -29.458) || Spherical Vector: (52.4844, 2.16672, -1.09798) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (3.18031, 29.3123, -43.42) || Spherical Vector: (52.4844, 2.54507, 1.46272) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
